id_employee,Name,last_name,gender,email,area,salary,type,finish_date
44-4086366,Doti,MacGruer,male,Doti_Ma_R@company.com,Support,118773,remote,"2024-08-18 21:21:38"
38-4339169,Sutton,McSkeagan,woman,Sutton_Mc_R@company.com,Accounting,168111,remote,"2024-08-17 07:17:58"
37-9707406,Sadye,M'Chirrie,woman,Sadye_M'_H@company.com,Engineering,173315,hybridic,"2024-08-15 07:30:33"
31-9811226,Gilberte,Campbell,male,Gilberte_Ca_R@company.com,Accounting,112246,remote,"2024-08-15 04:52:37"
39-5192372,Quincy,Rosenzwig,male,Quincy_Ro_H@company.com,Marketing,181792,hybridic,"2024-08-10 16:08:04"
16-0096448,Ameline,Clethro,male,Ameline_Cl_H@company.com,Engineering,157163,hybridic,"2024-08-09 02:17:57"
31-4730226,Jon,Redpath,woman,Jon_Re_H@company.com,Engineering,76315,hybridic,"2024-08-07 14:10:46"
09-2978918,Pooh,Dellar,woman,Pooh_De_H@company.com,Training,118545,hybridic,"2024-08-05 22:34:59"
01-5945630,Gisella,Iltchev,woman,Gisella_Il_H@company.com,Accounting,181518,hybridic,"2024-08-05 03:16:16"
13-5599836,Sutherlan,Carlaw,woman,Sutherlan_Ca_R@company.com,Engineering,85236,remote,"2024-08-05 02:52:29"
36-4126636,Stefa,Lockhart,male,Stefa_Lo_H@company.com,Engineering,102465,hybridic,"2024-08-03 10:26:31"
39-2467716,Archibold,Francke,woman,Archibold_Fr_R@company.com,Support,88290,remote,"2024-07-26 05:11:08"
33-8296244,Rinaldo,Branigan,woman,Rinaldo_Br_R@company.com,Engineering,82284,remote,"2024-07-22 00:39:13"
44-5161325,Samantha,Marzelo,woman,Samantha_Ma_H@company.com,Engineering,85906,hybridic,"2024-07-21 23:37:02"
14-5411954,Deloris,Borghese,male,Deloris_Bo_R@company.com,Accounting,184188,remote,"2024-07-21 11:10:08"
39-6066355,Stormy,O'Dowgaine,male,Stormy_O'_R@company.com,Sales,100906,remote,"2024-07-19 02:39:59"
20-2849037,Steven,Kirkness,male,Steven_Ki_H@company.com,Services,174464,hybridic,"2024-07-18 02:58:58"
62-6328750,Dion,Sheilds,woman,Dion_Sh_R@company.com,Engineering,114031,remote,"2024-07-14 09:41:41"
30-3351574,Nollie,Boom,male,Nollie_Bo_R@company.com,"Human Resources",72693,remote,"2024-07-12 05:44:16"
44-0331873,Jaime,Lacrouts,male,Jaime_La_H@company.com,Engineering,103119,hybridic,"2024-07-10 15:49:12"
01-9688532,Deeanne,Laurand,male,Deeanne_La_R@company.com,Accounting,94162,remote,"2024-07-07 16:10:05"
07-4911904,Carlynn,Tytherton,woman,Carlynn_Ty_R@company.com,Support,77272,remote,"2024-06-30 19:38:02"
16-8256765,Gretta,Bariball,male,Gretta_Ba_H@company.com,"Product Management",129644,hybridic,"2024-06-26 15:47:51"
13-0043599,Glenda,Creser,woman,Glenda_Cr_H@company.com,Services,157266,hybridic,"2024-06-25 05:26:32"
55-5365096,Woodman,Deval,male,Woodman_De_R@company.com,Accounting,78798,remote,"2024-06-23 18:15:10"
28-4084592,Elsie,Whiteway,woman,Elsie_Wh_R@company.com,Training,102753,remote,"2024-06-19 12:24:01"
14-4092604,Janot,Glauber,woman,Janot_Gl_R@company.com,Accounting,147295,remote,"2024-06-16 09:27:50"
65-5824313,Burke,Dumphreys,male,Burke_Du_H@company.com,Engineering,128557,hybridic,"2024-06-14 05:19:09"
66-4197830,Antonino,Glendinning,male,Antonino_Gl_H@company.com,Engineering,175916,hybridic,"2024-06-08 16:58:16"
27-1587469,Rubia,Stapford,woman,Rubia_St_R@company.com,"Research and Development",68290,remote,"2024-06-05 04:54:41"
53-9587980,Miner,Sharpe,male,Miner_Sh_H@company.com,Support,133719,hybridic,"2024-06-02 11:05:34"
38-2838908,Currey,Dobrowolny,woman,Currey_Do_H@company.com,Sales,170413,hybridic,"2024-06-02 05:55:49"
38-8655380,Sonnnie,Spink,woman,Sonnnie_Sp_H@company.com,Training,93793,hybridic,"2024-05-30 12:26:16"
22-3376693,Joni,Passion,woman,Joni_Pa_H@company.com,Engineering,135118,hybridic,"2024-05-24 16:14:17"
42-3858556,Anthiathia,Oldnall,woman,Anthiathia_Ol_H@company.com,Engineering,88027,hybridic,"2024-05-21 04:34:55"
08-6757415,Maximo,King,woman,Maximo_Ki_H@company.com,Engineering,70429,hybridic,"2024-05-20 12:44:51"
40-7526459,Jonas,Kynson,male,Jonas_Ky_R@company.com,"Human Resources",130525,remote,"2024-05-11 21:57:22"
63-6331094,Moe,Molen,woman,Moe_Mo_R@company.com,"Business Development",125954,remote,"2024-05-10 15:29:44"
64-4782365,Gerrie,Laise,male,Gerrie_La_H@company.com,"Business Development",89911,hybridic,"2024-05-09 15:16:57"
47-6076777,Even,Dymock,woman,Even_Dy_H@company.com,Support,156636,hybridic,"2024-05-03 10:21:46"
58-3428698,Gaby,Deackes,woman,Gaby_De_R@company.com,"Business Development",106225,remote,"2024-05-01 20:16:08"
11-2910410,Harriet,Gaze,male,Harriet_Ga_R@company.com,"Product Management",174580,remote,"2024-04-25 19:00:55"
44-8209773,Carolyn,Haylands,male,Carolyn_Ha_H@company.com,Sales,70516,hybridic,"2024-04-24 01:47:25"
53-7699933,Tori,Hocking,male,Tori_Ho_H@company.com,Training,75525,hybridic,"2024-04-23 12:13:34"
39-5931448,Reine,Robus,woman,Reine_Ro_R@company.com,"Business Development",182495,remote,"2024-04-21 09:10:38"
18-1012979,Fleming,Matejka,male,Fleming_Ma_R@company.com,Engineering,144507,remote,"2024-04-20 10:54:14"
53-3191765,Hayes,"Van Weedenburg",male,Hayes_Va_R@company.com,Services,96850,remote,"2024-04-18 21:03:15"
23-6187033,Adolph,Middiff,woman,Adolph_Mi_H@company.com,Sales,109386,hybridic,"2024-04-15 16:46:37"
06-8191249,Neila,Dodding,male,Neila_Do_R@company.com,Engineering,120126,remote,"2024-04-10 21:29:37"
54-9985409,Terencio,Scanterbury,woman,Terencio_Sc_H@company.com,Support,158950,hybridic,"2024-03-28 19:26:12"
18-2583423,Harper,Rimbault,woman,Harper_Ri_H@company.com,Engineering,143782,hybridic,"2024-03-23 03:08:28"
37-6851758,Liam,Leedal,male,Liam_Le_H@company.com,Engineering,159903,hybridic,"2024-03-23 00:12:36"
45-1456330,Roderigo,Crippill,male,Roderigo_Cr_H@company.com,"Research and Development",177237,hybridic,"2024-03-21 08:14:15"
58-3200886,Marylin,McSherry,male,Marylin_Mc_R@company.com,Training,88260,remote,"2024-03-20 22:52:23"
39-6523289,Lauren,Noorwood,woman,Lauren_No_H@company.com,Engineering,81361,hybridic,"2024-03-19 07:17:14"
41-9706698,Ravid,McDermott-Row,woman,Ravid_Mc_R@company.com,Engineering,66062,remote,"2024-03-16 06:11:54"
63-6562156,Emlynn,Segges,male,Emlynn_Se_R@company.com,Services,69697,remote,"2024-03-14 02:46:00"
03-5692409,Tanny,MacRonald,woman,Tanny_Ma_R@company.com,Support,65771,remote,"2024-03-08 14:04:17"
17-1220615,Abagael,Wadeling,male,Abagael_Wa_R@company.com,Accounting,179857,remote,"2024-03-04 11:25:30"
30-8269024,Aurelia,Gold,woman,Aurelia_Go_H@company.com,"Business Development",152828,hybridic,"2024-03-03 16:26:11"
00-1877605,Bibbie,Matteoli,male,Bibbie_Ma_R@company.com,Support,74632,remote,"2024-03-02 16:38:02"
32-2449105,Mariquilla,Rowler,male,Mariquilla_Ro_H@company.com,"Product Management",138969,hybridic,"2024-03-01 22:10:29"
25-1326713,Marcy,Rouf,male,Marcy_Ro_H@company.com,Auditing,92931,hybridic,"2024-02-28 18:38:21"
08-0220045,Hinda,Bourdis,woman,Hinda_Bo_R@company.com,Engineering,92221,remote,"2024-02-28 00:47:32"
34-8237450,Barbette,Stanlick,male,Barbette_St_H@company.com,Support,113694,hybridic,"2024-02-27 19:24:22"
13-9552577,Gratiana,Peter,male,Gratiana_Pe_H@company.com,Engineering,140443,hybridic,"2024-02-22 11:10:03"
57-7874956,Derick,Duchenne,male,Derick_Du_R@company.com,Legal,92038,remote,"2024-02-22 04:25:15"
52-8780257,Tildi,Braisher,male,Tildi_Br_R@company.com,"Product Management",76320,remote,"2024-02-21 18:39:01"
43-5238432,Kerr,McDiarmid,woman,Kerr_Mc_R@company.com,Sales,143735,remote,"2024-02-15 12:56:31"
16-4785995,Brigitte,Beaumont,male,Brigitte_Be_R@company.com,Support,137231,remote,"2024-02-13 13:23:16"
43-8427273,Krissy,MacGorrie,male,Krissy_Ma_R@company.com,"Research and Development",75925,remote,"2024-01-30 04:21:53"
54-5090974,Ilyse,Ivashov,male,Ilyse_Iv_H@company.com,Engineering,178251,hybridic,"2024-01-17 14:07:31"
34-6325009,Thorsten,Sealy,male,Thorsten_Se_R@company.com,Training,132300,remote,"2024-01-15 15:46:35"
45-9846685,Netti,Geekie,male,Netti_Ge_R@company.com,Support,69618,remote,"2024-01-12 18:01:54"
60-7863468,Bili,Tombling,woman,Bili_To_R@company.com,"Human Resources",161783,remote,"2024-01-10 12:22:48"
46-3653466,Isiahi,Heel,male,Isiahi_He_H@company.com,Support,126877,hybridic,"2024-01-08 20:51:31"
23-2073080,Trixy,Daglish,male,Trixy_Da_H@company.com,Engineering,165602,hybridic,"2024-01-08 00:19:15"
52-5337240,Marie-ann,Pridding,woman,Marie-ann_Pr_H@company.com,"Business Development",135540,hybridic,"2024-01-06 14:25:07"
04-5882101,Renado,Stenton,woman,Renado_St_R@company.com,"Human Resources",130802,remote,"2023-12-29 22:53:03"
46-1320912,Marylynne,Joselevitch,woman,Marylynne_Jo_R@company.com,Sales,135837,remote,"2023-12-18 11:30:17"
06-7145423,Wake,Shippey,male,Wake_Sh_H@company.com,"Human Resources",184311,hybridic,"2023-12-08 22:58:23"
48-7694623,Billy,Masser,male,Billy_Ma_R@company.com,Accounting,103237,remote,"2023-12-07 10:16:55"
46-3173379,Brendin,Harcus,male,Brendin_Ha_R@company.com,"Human Resources",158593,remote,"2023-11-30 22:39:53"
63-8232340,Maisey,Alfonzo,male,Maisey_Al_R@company.com,Engineering,73135,remote,"2023-11-30 00:12:22"
15-7875021,Tod,Crouse,woman,Tod_Cr_H@company.com,Sales,81535,hybridic,"2023-11-23 21:27:59"
34-3385771,Teriann,"De Bruijn",male,Teriann_De_H@company.com,Engineering,75750,hybridic,"2023-11-23 15:00:19"
49-3937479,Ignacio,Bertl,woman,Ignacio_Be_H@company.com,Engineering,88238,hybridic,"2023-11-22 19:04:14"
58-4311380,Brandtr,Tilbury,woman,Brandtr_Ti_R@company.com,Accounting,131336,remote,"2023-11-22 07:13:58"
61-0772789,Zacharias,Pietersen,woman,Zacharias_Pi_R@company.com,Marketing,113771,remote,"2023-11-19 03:59:24"
10-4589871,Wells,Bartolomeu,male,Wells_Ba_H@company.com,Engineering,93263,hybridic,"2023-11-17 06:14:02"
25-8474344,Tiphani,"Van den Broek",woman,Tiphani_Va_R@company.com,Engineering,171925,remote,"2023-11-17 04:54:52"
35-6202038,Farr,Tift,male,Farr_Ti_R@company.com,"Business Development",101556,remote,"2023-11-06 10:10:46"
50-3479271,Shelbi,Chadbourne,woman,Shelbi_Ch_R@company.com,Engineering,127126,remote,"2023-11-06 02:28:45"
17-1872804,Karisa,Gierek,male,Karisa_Gi_H@company.com,"Research and Development",67843,hybridic,"2023-11-03 14:06:05"
14-0077264,Cinda,Brinicombe,woman,Cinda_Br_R@company.com,Services,133980,remote,"2023-10-31 00:51:23"
40-3408320,Audi,Timmermann,male,Audi_Ti_H@company.com,"Human Resources",93388,hybridic,"2023-10-30 07:42:37"
66-2259262,Ursuline,Pulver,male,Ursuline_Pu_R@company.com,Sales,125227,remote,"2023-10-24 23:26:07"
16-6529859,Howie,Biever,male,Howie_Bi_H@company.com,Sales,133970,hybridic,"2023-10-22 13:31:56"
07-9637003,Kassi,Richings,woman,Kassi_Ri_R@company.com,Accounting,124169,remote,"2023-10-19 14:26:45"
05-3402073,Case,Soro,woman,Case_So_H@company.com,Training,182779,hybridic,"2023-10-18 19:08:04"
48-7075751,Sophie,Melbert,woman,Sophie_Me_H@company.com,"Human Resources",124602,hybridic,"2023-10-17 21:28:24"
26-0795670,Cori,Gomery,woman,Cori_Go_H@company.com,"Business Development",138435,hybridic,"2023-10-16 20:57:26"
44-1909154,Aaren,Reveley,woman,Aaren_Re_R@company.com,Engineering,86680,remote,"2023-10-13 03:39:10"
47-5950361,Waylen,Giblin,male,Waylen_Gi_H@company.com,Marketing,167296,hybridic,"2023-10-11 05:14:47"
66-3976897,Cairistiona,Twizell,male,Cairistiona_Tw_R@company.com,Engineering,159410,remote,"2023-10-07 03:18:34"
51-5154137,Bobbette,Smowton,male,Bobbette_Sm_R@company.com,Training,74920,remote,"2023-10-06 17:11:57"
57-7560346,Darrelle,Solomon,male,Darrelle_So_H@company.com,Training,123842,hybridic,"2023-10-02 23:12:40"
01-7851887,Sorcha,Agget,woman,Sorcha_Ag_R@company.com,Accounting,167529,remote,"2023-09-28 02:22:45"
66-1836110,Umberto,Vasilchikov,male,Umberto_Va_H@company.com,Sales,76408,hybridic,"2023-09-16 09:32:53"
36-4430287,Georgiana,Lyddiatt,male,Georgiana_Ly_H@company.com,Engineering,173716,hybridic,"2023-09-14 21:43:42"
52-9368890,Joe,Ablett,male,Joe_Ab_R@company.com,Engineering,172940,remote,"2023-09-14 04:16:24"
37-3487178,Ofilia,Stollenbeck,woman,Ofilia_St_R@company.com,Engineering,165605,remote,"2023-08-29 09:35:29"
42-3099701,Krystyna,Shilling,woman,Krystyna_Sh_R@company.com,Engineering,98877,remote,"2023-08-27 18:42:57"
27-6643490,Drud,Folkerts,male,Drud_Fo_R@company.com,Engineering,81513,remote,"2023-08-26 06:15:20"
36-3015218,Mallory,Confait,male,Mallory_Co_R@company.com,Engineering,114202,remote,"2023-08-23 22:59:05"
07-8103925,Zaria,Milan,woman,Zaria_Mi_H@company.com,"Business Development",150226,hybridic,"2023-08-23 22:46:07"
39-0393970,Gustavo,Grandin,male,Gustavo_Gr_H@company.com,"Research and Development",147896,hybridic,"2023-08-18 20:15:42"
15-9926989,Rubi,Pear,male,Rubi_Pe_R@company.com,Training,132523,remote,"2023-08-16 04:11:15"
51-0161972,Alameda,Deesly,male,Alameda_De_R@company.com,Engineering,107019,remote,"2023-08-11 07:11:15"
50-4424612,Neal,Giorgiutti,male,Neal_Gi_R@company.com,Accounting,104871,remote,"2023-08-09 09:42:51"
08-4965673,Gates,"de Grey",woman,Gates_de_H@company.com,"Research and Development",149655,hybridic,"2023-08-07 01:54:15"
07-2168841,Ardyce,Kordes,woman,Ardyce_Ko_H@company.com,Accounting,165041,hybridic,"2023-08-05 00:46:41"
39-8179291,Consuela,Hulk,male,Consuela_Hu_H@company.com,"Research and Development",130415,hybridic,"2023-08-04 12:07:02"
34-4425295,Selina,Jarmain,woman,Selina_Ja_R@company.com,Services,137113,remote,"2023-08-03 02:48:08"
66-4451787,Janel,Sponer,woman,Janel_Sp_H@company.com,Engineering,181103,hybridic,"2023-08-01 00:30:44"
19-7512351,Tirrell,Champagne,woman,Tirrell_Ch_R@company.com,Sales,137111,remote,"2023-07-28 01:10:15"
31-8883521,Junette,Lisimore,male,Junette_Li_R@company.com,Engineering,170703,remote,"2023-07-24 02:08:01"
62-6118371,Dodi,Pengelley,woman,Dodi_Pe_R@company.com,Sales,72794,remote,"2023-07-21 06:31:03"
05-5416473,Lisa,Birtwisle,woman,Lisa_Bi_H@company.com,Engineering,180498,hybridic,"2023-07-17 21:05:25"
34-1639285,Barbee,Apfel,woman,Barbee_Ap_R@company.com,Engineering,107062,remote,"2023-07-17 01:44:01"
65-9809225,Greggory,Gallon,woman,Greggory_Ga_R@company.com,Legal,129279,remote,"2023-07-15 21:22:19"
13-1174983,Nevsa,Gisburn,male,Nevsa_Gi_H@company.com,Accounting,124673,hybridic,"2023-07-07 04:21:57"
33-7032626,Kassia,Davidavidovics,male,Kassia_Da_H@company.com,Engineering,67737,hybridic,"2023-07-04 16:50:43"
33-4836726,Pennie,Lamanby,woman,Pennie_La_H@company.com,Training,137045,hybridic,"2023-06-27 08:06:20"
15-9589281,Carny,Bumpus,male,Carny_Bu_R@company.com,Legal,174369,remote,"2023-06-19 10:40:09"
26-0235588,Fredric,Kleinsmuntz,woman,Fredric_Kl_R@company.com,Engineering,151260,remote,"2023-06-17 09:51:42"
59-9606872,Wanda,D'Angeli,male,Wanda_D'_R@company.com,"Human Resources",73312,remote,"2023-06-10 19:03:33"
65-7323511,Lincoln,Vosse,male,Lincoln_Vo_R@company.com,Accounting,112390,remote,"2023-06-06 22:52:30"
18-6128237,Bettina,Addams,woman,Bettina_Ad_H@company.com,Engineering,78452,hybridic,"2023-06-04 17:56:46"
19-3012416,Janie,Overlow,woman,Janie_Ov_H@company.com,"Research and Development",144833,hybridic,"2023-05-30 16:17:15"
06-7507908,Pablo,Maynell,male,Pablo_Ma_H@company.com,Engineering,152794,hybridic,"2023-05-23 12:42:37"
04-0486141,Zaneta,McKelvey,male,Zaneta_Mc_H@company.com,"Research and Development",184479,hybridic,"2023-05-21 19:28:03"
23-2978639,Nessi,Duffan,male,Nessi_Du_R@company.com,Training,119743,remote,"2023-05-20 07:45:24"
07-0603203,Natka,Moyer,woman,Natka_Mo_R@company.com,Accounting,103055,remote,"2023-05-11 03:06:27"
55-6402051,Gerek,Claibourn,woman,Gerek_Cl_H@company.com,Engineering,72867,hybridic,"2023-05-05 11:24:14"
63-7862948,Shoshanna,Schruur,woman,Shoshanna_Sc_R@company.com,Accounting,93514,remote,"2023-05-02 07:59:10"
43-0494079,Randene,Terram,male,Randene_Te_H@company.com,"Human Resources",153402,hybridic,"2023-04-26 09:03:56"
55-0324713,Geri,Geale,woman,Geri_Ge_R@company.com,Training,95571,remote,"2023-04-25 06:27:41"
45-7784287,Nessie,Rossoni,male,Nessie_Ro_R@company.com,"Business Development",136897,remote,"2023-04-23 03:57:47"
12-0137994,Jimmy,Duffin,male,Jimmy_Du_H@company.com,Training,100732,hybridic,"2023-04-21 07:18:02"
53-9912842,Noach,Lingfoot,woman,Noach_Li_R@company.com,Services,141330,remote,"2023-04-18 01:06:44"
60-4694668,Morris,MacAscaidh,male,Morris_Ma_H@company.com,Sales,143216,hybridic,"2023-04-16 22:47:36"
10-5272584,Morton,Mattioni,woman,Morton_Ma_H@company.com,Engineering,178072,hybridic,"2023-04-15 10:06:48"
37-8235293,Jody,Bridgestock,male,Jody_Br_R@company.com,Sales,180554,remote,"2023-04-10 14:38:19"
01-5188629,Shirline,Sprake,male,Shirline_Sp_R@company.com,"Product Management",95946,remote,"2023-04-08 15:09:59"
44-4409670,Ariadne,Scarrisbrick,woman,Ariadne_Sc_R@company.com,Training,68015,remote,"2023-04-03 14:24:04"
02-3687358,Terra,Febry,woman,Terra_Fe_R@company.com,Training,175746,remote,"2023-03-27 23:02:04"
43-7895757,Dyann,Easeman,woman,Dyann_Ea_R@company.com,Sales,135046,remote,"2023-03-25 00:03:04"
00-6338870,Curtice,Kidgell,woman,Curtice_Ki_R@company.com,Engineering,67616,remote,"2023-03-24 22:54:39"
33-8285891,Vinnie,Wressell,woman,Vinnie_Wr_R@company.com,Engineering,96305,remote,"2023-03-23 20:06:36"
43-7756433,Darla,Blackhurst,male,Darla_Bl_R@company.com,Support,140700,remote,"2023-03-13 23:42:31"
66-7677890,Packston,Marsden,woman,Packston_Ma_R@company.com,"Business Development",98238,remote,"2023-03-13 16:49:36"
47-3663913,Arabelle,Pesik,male,Arabelle_Pe_R@company.com,Accounting,92459,remote,"2023-03-12 23:44:12"
57-1554512,Everard,Levane,woman,Everard_Le_H@company.com,Services,177839,hybridic,"2023-03-10 07:57:48"
46-9864853,Hermie,Kimbrey,woman,Hermie_Ki_H@company.com,Engineering,177502,hybridic,"2023-03-08 17:18:06"
51-9599593,Sydney,Goodding,male,Sydney_Go_H@company.com,Accounting,159123,hybridic,"2023-03-04 00:54:29"
38-3401448,Hermine,Quinion,male,Hermine_Qu_R@company.com,Engineering,132763,remote,"2023-03-03 16:09:33"
17-8688825,Abbie,Giacoboni,woman,Abbie_Gi_R@company.com,"Research and Development",98046,remote,"2023-03-03 13:18:11"
25-1960256,Lemuel,Falkous,male,Lemuel_Fa_H@company.com,Sales,73348,hybridic,"2023-03-01 04:41:11"
28-4212063,Britte,Blofeld,male,Britte_Bl_R@company.com,Support,124031,remote,"2023-02-26 06:03:14"
28-5044439,Abelard,Woodcroft,male,Abelard_Wo_R@company.com,Accounting,143330,remote,"2023-02-26 03:16:53"
54-1441578,Selle,Johann,male,Selle_Jo_H@company.com,"Human Resources",147303,hybridic,"2023-02-25 18:27:58"
27-8599909,Tammy,McAvin,woman,Tammy_Mc_R@company.com,"Human Resources",123594,remote,"2023-02-22 02:30:30"
32-4063616,Ginger,Tribble,male,Ginger_Tr_H@company.com,Sales,152560,hybridic,"2023-02-19 17:45:28"
22-6671219,Corrina,Tolossi,male,Corrina_To_H@company.com,Engineering,78394,hybridic,"2023-02-17 05:31:59"
10-2191646,Hewie,Jeger,woman,Hewie_Je_R@company.com,"Human Resources",74870,remote,"2023-02-17 03:22:06"
58-5963314,Fionna,Schwand,woman,Fionna_Sc_H@company.com,Sales,183179,hybridic,"2023-02-15 05:46:59"
27-0334056,Muire,Meltetal,woman,Muire_Me_H@company.com,Engineering,94154,hybridic,"2023-02-12 16:10:48"
14-2511312,Sax,"Mc Kellen",male,Sax_Mc_R@company.com,Engineering,69727,remote,"2023-02-11 00:57:21"
24-7383772,Hyman,Flew,male,Hyman_Fl_H@company.com,Engineering,137446,hybridic,"2023-02-09 20:04:01"
14-4676687,Ilyse,Style,male,Ilyse_St_H@company.com,Training,81455,hybridic,"2023-02-07 03:35:20"
08-3993185,Waldemar,Dory,male,Waldemar_Do_H@company.com,"Product Management",115443,hybridic,"2023-02-04 09:20:08"
41-9448021,Madalyn,Beteriss,woman,Madalyn_Be_H@company.com,Engineering,173642,hybridic,"2023-02-04 05:16:41"
